Parameter.Code,monitor_id,POC,Date.Local,Units.of.Measure,mean
44201,0013001,2,2010-01-01,Parts per billion,9.08695652173913
44201,0013001,2,2010-01-02,Parts per billion,5.916666666666667
44201,0013001,2,2010-01-03,Parts per billion,13.958333333333334
44201,0013001,2,2010-01-04,Parts per billion,9.291666666666666
44201,0013001,2,2010-01-05,Parts per billion,17.043478260869566
44201,0013001,2,2010-01-06,Parts per billion,21.458333333333332
44201,0013001,2,2010-01-07,Parts per billion,10.375
44201,0013001,2,2010-01-08,Parts per billion,6.416666666666667
44201,0013001,2,2010-01-09,Parts per billion,7.083333333333333
44201,0013001,2,2010-01-10,Parts per billion,9.541666666666666
44201,0013001,2,2010-01-11,Parts per billion,7.208333333333333
44201,0013001,2,2010-01-12,Parts per billion,5.260869565217392
44201,0013001,2,2010-01-13,Parts per billion,7.291666666666667
44201,0013001,2,2010-01-14,Parts per billion,4.291666666666667
44201,0013001,2,2010-01-15,Parts per billion,11.625
44201,0013001,2,2010-01-16,Parts per billion,7.333333333333333
44201,0013001,2,2010-01-17,Parts per billion,5.5
44201,0013001,2,2010-01-18,Parts per billion,4.833333333333333
44201,0013001,2,2010-01-19,Parts per billion,4.958333333333333
44201,0013001,2,2010-01-20,Parts per billion,7.782608695652174
44201,0013001,2,2010-01-21,Parts per billion,4.458333333333333
44201,0013001,2,2010-01-22,Parts per billion,6.318181818181818
44201,0013001,2,2010-01-23,Parts per billion,24.583333333333332
44201,0013001,2,2010-01-24,Parts per billion,34.083333333333336
44201,0013001,2,2010-01-25,Parts per billion,29.333333333333332
44201,0013001,2,2010-01-26,Parts per billion,7.619047619047619
44201,0013001,2,2010-01-27,Parts per billion,14.304347826086957
44201,0013001,2,2010-01-28,Parts per billion,17.125
44201,0013001,2,2010-01-29,Parts per billion,9.583333333333334
44201,0013001,2,2010-01-30,Parts per billion,17.416666666666668
44201,0013001,2,2010-01-31,Parts per billion,20.458333333333332
44201,0013001,2,2010-02-01,Parts per billion,22.375
44201,0013001,2,2010-02-02,Parts per billion,7.130434782608695
44201,0013001,2,2010-02-03,Parts per billion,7.791666666666667
44201,0013001,2,2010-02-04,Parts per billion,22.5
44201,0013001,2,2010-02-05,Parts per billion,17.291666666666668
44201,0013001,2,2010-02-06,Parts per billion,9.916666666666666
44201,0013001,2,2010-02-07,Parts per billion,14.791666666666666
44201,0013001,2,2010-02-08,Parts per billion,28.25
44201,0013001,2,2010-02-09,Parts per billion,13.130434782608695
44201,0013001,2,2010-02-10,Parts per billion,8.333333333333334
44201,0013001,2,2010-02-11,Parts per billion,14.458333333333334
44201,0013001,2,2010-02-12,Parts per billion,18.5
44201,0013001,2,2010-02-13,Parts per billion,34.625
44201,0013001,2,2010-02-14,Parts per billion,32.291666666666664
44201,0013001,2,2010-02-15,Parts per billion,14.416666666666666
44201,0013001,2,2010-02-16,Parts per billion,12.333333333333334
44201,0013001,2,2010-02-17,Parts per billion,7.739130434782608
44201,0013001,2,2010-02-18,Parts per billion,19.208333333333332
44201,0013001,2,2010-02-19,Parts per billion,31.333333333333332
44201,0013001,2,2010-02-20,Parts per billion,32.125
44201,0013001,2,2010-02-21,Parts per billion,34.375
44201,0013001,2,2010-02-22,Parts per billion,29.041666666666668
44201,0013001,2,2010-02-23,Parts per billion,17.291666666666668
44201,0013001,2,2010-02-24,Parts per billion,8.304347826086957
44201,0013001,2,2010-02-25,Parts per billion,23.875
44201,0013001,2,2010-02-26,Parts per billion,14.791666666666666
44201,0013001,2,2010-02-27,Parts per billion,18.5
44201,0013001,2,2010-02-28,Parts per billion,23.916666666666668
44201,0013001,2,2010-03-01,Parts per billion,18.125
44201,0013001,2,2010-03-02,Parts per billion,17.291666666666668
44201,0013001,2,2010-03-03,Parts per billion,16.08695652173913
44201,0013001,2,2010-03-04,Parts per billion,18.291666666666668
44201,0013001,2,2010-03-05,Parts per billion,34.708333333333336
44201,0013001,2,2010-03-06,Parts per billion,33.5
44201,0013001,2,2010-03-07,Parts per billion,25.5
44201,0013001,2,2010-03-08,Parts per billion,20.956521739130434
44201,0013001,2,2010-03-09,Parts per billion,44.041666666666664
44201,0013001,2,2010-03-10,Parts per billion,30.083333333333332
44201,0013001,2,2010-03-11,Parts per billion,33.416666666666664
44201,0013001,2,2010-03-12,Parts per billion,30.083333333333332
44201,0013001,2,2010-03-13,Parts per billion,26.458333333333332
44201,0013001,2,2010-03-14,Parts per billion,30.041666666666668
44201,0013001,2,2010-03-15,Parts per billion,21.458333333333332
44201,0013001,2,2010-03-16,Parts per billion,23.25
44201,0013001,2,2010-03-17,Parts per billion,21.458333333333332
44201,0013001,2,2010-03-18,Parts per billion,25.333333333333332
