Parameter.Code,monitor_id,POC,Date.Local,Units.of.Measure,d8hmax
44201,0310014,2,2010-01-01,Parts per million,0.017625000000000002
44201,0310014,2,2010-01-02,Parts per million,0.020875
44201,0310014,2,2010-01-03,Parts per million,0.028375
44201,0310014,2,2010-01-04,Parts per million,0.024625
44201,0310014,2,2010-01-05,Parts per million,0.034624999999999996
44201,0310014,2,2010-01-06,Parts per million,0.018125
44201,0310014,2,2010-01-07,Parts per million,0.011
44201,0310014,2,2010-01-08,Parts per million,0.0185
44201,0310014,2,2010-01-09,Parts per million,0.014875
44201,0310014,2,2010-01-10,Parts per million,0.02625
44201,0310014,2,2010-01-11,Parts per million,0.017249999999999998
44201,0310014,2,2010-01-12,Parts per million,0.02
44201,0310014,2,2010-01-13,Parts per million,0.013625
44201,0310014,2,2010-01-14,Parts per million,0.003125
44201,0310014,2,2010-01-15,Parts per million,0.02675
44201,0310014,2,2010-01-16,Parts per million,0.0235
44201,0310014,2,2010-01-17,Parts per million,0.01575
44201,0310014,2,2010-01-18,Parts per million,0.02075
44201,0310014,2,2010-01-19,Parts per million,0.0073750000000000005
44201,0310014,2,2010-01-20,Parts per million,0.0215
44201,0310014,2,2010-01-21,Parts per million,0.0072499999999999995
44201,0310014,2,2010-01-22,Parts per million,0.03825
44201,0310014,2,2010-01-23,Parts per million,0.041999999999999996
44201,0310014,2,2010-01-24,Parts per million,0.0415
44201,0310014,2,2010-01-25,Parts per million,0.0445
44201,0310014,2,2010-01-26,Parts per million,0.012624999999999999
44201,0310014,2,2010-01-27,Parts per million,0.017
44201,0310014,2,2010-01-28,Parts per million,0.0175
44201,0310014,2,2010-01-29,Parts per million,0.02
44201,0310014,2,2010-01-30,Parts per million,0.03
44201,0310014,2,2010-01-31,Parts per million,0.028625
44201,0310014,2,2010-02-01,Parts per million,0.041125
44201,0310014,2,2010-02-02,Parts per million,0.024125
44201,0310014,2,2010-02-03,Parts per million,0.019
44201,0310014,2,2010-02-04,Parts per million,0.045625
44201,0310014,2,2010-02-05,Parts per million,0.029375
44201,0310014,2,2010-02-06,Parts per million,0.016625
44201,0310014,2,2010-02-07,Parts per million,0.016
44201,0310014,2,2010-02-08,Parts per million,0.02625
44201,0310014,2,2010-02-09,Parts per million,0.0195
44201,0310014,2,2010-02-10,Parts per million,0.022125
44201,0310014,2,2010-02-11,Parts per million,0.024125
44201,0310014,2,2010-02-12,Parts per million,0.041375
44201,0310014,2,2010-02-13,Parts per million,0.0445
44201,0310014,2,2010-02-14,Parts per million,0.036125000000000004
44201,0310014,2,2010-02-15,Parts per million,NA
44201,0310014,2,2010-02-16,Parts per million,0.022625
44201,0310014,2,2010-02-17,Parts per million,0.022625
44201,0310014,2,2010-02-18,Parts per million,0.027875
44201,0310014,2,2010-02-19,Parts per million,0.02975
44201,0310014,2,2010-02-20,Parts per million,0.0305
44201,0310014,2,2010-02-21,Parts per million,0.02875
44201,0310014,2,2010-02-22,Parts per million,0.03
44201,0310014,2,2010-02-23,Parts per million,0.038
44201,0310014,2,2010-02-24,Parts per million,0.02075
44201,0310014,2,2010-02-25,Parts per million,0.033125
44201,0310014,2,2010-02-26,Parts per million,0.035875000000000004
44201,0310014,2,2010-02-27,Parts per million,0.035375
